Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,958,4858979,19.7
,Alaska,2,177,738432,24
,Arizona,4,970,6828065,14.2
,Arkansas,5,520,2978204,17.5
,California,6,3095,39144818,7.9
,Colorado,8,701,5456574,12.8
,Connecticut,9,189,3590886,5.3
,Delaware,10,112,945934,11.8
,District of Columbia,11,120,672228,17.9
,Florida,12,2559,20271272,12.6
,Georgia,13,1448,10214860,14.2
,Hawaii,15,55,1431603,3.8
,Idaho,16,247,1654930,14.9
,Illinois,17,1220,12859995,9.5
,Indiana,18,846,6619680,12.8
,Iowa,19,247,3123899,7.9
,Kansas,20,330,2911641,11.3
,Kentucky,21,694,4425092,15.7
,Louisiana,22,952,4670724,20.4
,Maine,23,144,1329328,10.8
,Maryland,24,708,6006401,11.8
,Massachusetts,25,213,6794422,3.1
,Michigan,26,1164,9922576,11.7
,Minnesota,27,410,5489594,7.5
,Mississippi,28,589,2992333,19.7
,Missouri,29,1094,6083672,18
,Montana,30,205,1032949,19.8
,Nebraska,31,169,1896190,8.9
,Nevada,32,446,2890845,15.4
,New Hampshire,33,121,1330608,9.1
,New Jersey,34,475,8958013,5.3
,New Mexico,35,390,2085109,18.7
,New York,36,849,19795791,4.3
,North Carolina,37,1289,10042802,12.8
,North Dakota,38,92,756927,12.2
,Ohio,39,1397,11613423,12
,Oklahoma,40,706,3911338,18.1
,Oregon,41,486,4028977,12.1
,Pennsylvania,42,1485,12802503,11.6
,Rhode Island,44,51,1056298,4.8
,South Carolina,45,850,4896146,17.4
,South Dakota,46,96,858469,11.2
,Tennessee,47,1075,6600299,16.3
,Texas,48,3203,27469114,11.7
,Utah,49,367,2995919,12.2
,Vermont,50,70,626042,11.2
,Virginia,51,946,8382993,11.3
,Washington,53,718,7170351,10
,West Virginia,54,278,1844128,15.1
,Wisconsin,55,613,5771337,10.6
,Wyoming,56,113,586107,19.3
Total,,,36252,321418820,11.3
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2015,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 22, 2020 6:27:24 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 22, 2020 6:27:24 PM",,,,,
---,,,,,
Caveats:,,,,,
"1. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
