Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,349,4718206,7.4
,Alaska,2,15,687455,-1
,Arizona,4,333,6280362,5.3
,Arkansas,5,145,2874554,5
,California,6,1569,36604337,4.3
,Colorado,8,109,4889730,2.2
,Connecticut,9,87,3545579,2.5
,Delaware,10,54,883874,6.1
,District of Columbia,11,122,580236,21
,Florida,12,886,18527305,4.8
,Georgia,13,515,9504843,5.4
,Hawaii,15,11,1332213,-1
,Idaho,16,13,1534320,-1
,Illinois,17,631,12747038,5
,Indiana,18,235,6424806,3.7
,Iowa,19,34,3016734,1.1
,Kansas,20,77,2808076,2.7
,Kentucky,21,160,4289878,3.7
,Louisiana,22,430,4435586,9.7
,Maine,23,12,1330509,-1
,Maryland,24,379,5684965,6.7
,Massachusetts,25,98,6468967,1.5
,Michigan,26,489,9946889,4.9
,Minnesota,27,71,5247018,1.4
,Mississippi,28,245,2947806,8.3
,Missouri,29,360,5923916,6.1
,Montana,30,16,976415,-1
,Nebraska,31,49,1796378,2.7
,Nevada,32,100,2653630,3.8
,New Hampshire,33,-1,1315906,-1
,New Jersey,34,244,8711090,2.8
,New Mexico,35,86,2010662,4.3
,New York,36,508,19212436,2.6
,North Carolina,37,467,9309449,5
,North Dakota,38,-1,657569,-1
,Ohio,39,402,11515391,3.5
,Oklahoma,40,147,3668976,4
,Oregon,41,49,3768748,1.3
,Pennsylvania,42,524,12612285,4.2
,Rhode Island,44,19,1055003,-1
,South Carolina,45,249,4528996,5.5
,South Dakota,46,10,799124,-1
,Tennessee,47,336,6247411,5.4
,Texas,48,1006,24309039,4.1
,Utah,49,24,2663029,0.9
,Vermont,50,-1,624151,-1
,Virginia,51,251,7833496,3.2
,Washington,53,127,6562231,1.9
,West Virginia,54,37,1840310,2
,Wisconsin,55,81,5640996,1.4
,Wyoming,56,-1,546043,-1
Total,,,12179,304093966,4
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Homicide,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2008,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 2:25:34 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 2:25:34 AM",,,,,
---,,,,,
Caveats:,,,,,
1. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of,,,,,
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data.",,,,,
More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies.,,,,,
2. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
3. Death rates are flagged as -1 when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#-1.,,,,,
"4. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
