Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,-1,4887871,-1
,Alaska,2,-1,737438,-1
,Arizona,4,25,7171646,0.3
,Arkansas,5,14,3013825,-1
,California,6,81,39557045,0.2
,Colorado,8,25,5695564,0.4
,Connecticut,9,-1,3572665,-1
,Delaware,10,-1,967171,-1
,District of Columbia,11,-1,702455,-1
,Florida,12,24,21299325,0.1
,Georgia,13,25,10519475,0.2
,Hawaii,15,-1,1420491,-1
,Idaho,16,-1,1754208,-1
,Illinois,17,-1,12741080,-1
,Indiana,18,-1,6691878,-1
,Iowa,19,-1,3156145,-1
,Kansas,20,-1,2911505,-1
,Kentucky,21,-1,4468402,-1
,Louisiana,22,-1,4659978,-1
,Maine,23,-1,1338404,-1
,Maryland,24,10,6042718,-1
,Massachusetts,25,-1,6902149,-1
,Michigan,26,-1,9995915,-1
,Minnesota,27,11,5611179,-1
,Mississippi,28,-1,2986530,-1
,Missouri,29,10,6126452,-1
,Montana,30,-1,1062305,-1
,Nebraska,31,-1,1929268,-1
,Nevada,32,17,3034392,-1
,New Hampshire,33,-1,1356458,-1
,New Jersey,34,-1,8908520,-1
,New Mexico,35,16,2095428,-1
,New York,36,-1,19542209,-1
,North Carolina,37,17,10383620,-1
,North Dakota,38,-1,760077,-1
,Ohio,39,15,11689442,-1
,Oklahoma,40,-1,3943079,-1
,Oregon,41,15,4190713,-1
,Pennsylvania,42,17,12807060,-1
,Rhode Island,44,-1,1057315,-1
,South Carolina,45,-1,5084127,-1
,South Dakota,46,-1,882235,-1
,Tennessee,47,-1,6770010,-1
,Texas,48,39,28701845,0.1
,Utah,49,18,3161105,-1
,Vermont,50,-1,626299,-1
,Virginia,51,-1,8517685,-1
,Washington,53,22,7535591,0.3
,West Virginia,54,-1,1805832,-1
,Wisconsin,55,12,5813568,-1
,Wyoming,56,-1,577737,-1
Total,,,539,327167434,0.2
---,,,,,
"Dataset: Multiple Cause of Death, 1999-2018",,,,,
Query Parameters:,,,,,
UCD - Injury Intent: Legal Intervention / Operations of War,,,,,
UCD - Injury Mechanism & All Other Leading Causes: Firearm,,,,,
Year/Month: 2018,,,,,
Group By: State,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show -1: True,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.,,,,,
---,,,,,
"Query Date: May 23, 2020 2:44:40 AM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death",,,,,
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as",,,,,
compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed,,,,,
"at http://wonder.cdc.gov/mcd-icd10.html on May 23, 2020 2:44:40 AM",,,,,
---,,,,,
Caveats:,,,,,
1. Data are -1 when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as -1 when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/mcd.html#-1.,,,,,
"3. The population figures for year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018",,,,,
"postcensal series released by NCHS on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July",,,,,
"1 resident population, from the Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for",,,,,
"year 2016 are bridged-race estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS",,,,,
"on June 26, 2017. The population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the",,,,,
"Vintage 2015 postcensal series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race",,,,,
"estimates of the July 1 resident population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The",,,,,
"population figures for year 2013 are bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal",,,,,
"series released by NCHS on June 26, 2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident",,,,,
"population, from the Vintage 2012 postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are",,,,,
"bridged-race estimates of the July 1 resident population, from the county-level postcensal Vintage 2011 series released by NCHS",,,,,
"on July 18, 2012. Population figures for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are",,,,,
"bridged-race estimates of the July 1 resident population, from the revised intercensal county-level 2000 - 2009 series released",,,,,
"by NCHS on October 26, 2012. Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the",,,,,
1990-1999 intercensal series of July 1 estimates. Population figures for Infant Age Groups are the number of live births.,,,,,
"<br/><b>Note:</b> Rates and population figures for years 2001 - 2009 differ slightly from previously published reports, due to",,,,,
use of the population estimates which were available at the time of release.,,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group.,,,,,
